"","y_plot","mean_pdf","top25_pdf","bot25_pdf","mean_cdf","top25_cdf","bot25_cdf"
"1",-4,0.000614004687882429,0.004005817568549,4.43898122744698e-08,3.08933176293046e-05,0.000201550569486742,2.23344967418716e-09
"2",-3.94968553459119,0.00064316000225348,0.0041188549611808,4.48125109745183e-08,6.32535693150143e-05,0.000408463257710485,4.49878041809865e-09
"3",-3.89937106918239,0.000674420200142277,0.0043894148860985,5.95140950007284e-08,9.71866611460722e-05,0.000622226359419154,6.93413832456308e-09
"4",-3.84905660377358,0.000707957865682294,0.00465833726679222,7.32007552005174e-08,0.000132807182689835,0.000857548279674495,1.09035307536237e-08
"5",-3.79874213836478,0.000743960227868008,0.00475395951682612,8.81636525569562e-08,0.000170239143840427,0.00110815166115024,1.61511119906907e-08
"6",-3.74842767295597,0.000782630434821533,0.00504094614151496,1.14786982832787e-07,0.000209616775781133,0.00137395415852148,2.157960408136e-08
"7",-3.69811320754717,0.000824188955583513,0.00531083648299172,1.52922299804226e-07,0.000251085402477159,0.00165044069434756,2.90092464577255e-08
"8",-3.64779874213836,0.000868875129645366,0.00557090555821349,1.94291361270239e-07,0.000294802390132272,0.00190174771003466,3.68076433135815e-08
"9",-3.59748427672956,0.000916948890064663,0.00594925426227772,2.15929965708991e-07,0.000340938183343072,0.00219035985203883,5.09867622981701e-08
"10",-3.54716981132075,0.00096869269361013,0.00623222022389181,2.55310962513446e-07,0.000389677438367481,0.00249124434169482,6.83551804837205e-08
"11",-3.49685534591195,0.00102441370168217,0.00660786891816766,3.11804200141532e-07,0.000441220266125075,0.00281778563585031,9.21568790073695e-08
"12",-3.44654088050314,0.00108444626971058,0.00695410642718034,3.98256128483906e-07,0.000495783600450135,0.00316787491388455,1.16693308956059e-07
"13",-3.39622641509434,0.00114915482163154,0.00717928752369921,4.96912813061156e-07,0.000553602710972477,0.00351011827501231,1.4009473985055e-07
"14",-3.34591194968553,0.00121893721160654,0.00750010244860718,6.18328742347359e-07,0.00061493288514136,0.00391334726464617,1.59167314151445e-07
"15",-3.29559748427673,0.0012942287096426,0.00764512045182944,8.03730813828122e-07,0.000680051310783755,0.00436284445492201,1.99338441737507e-07
"16",-3.24528301886792,0.0013755067942034,0.0080502479168212,9.7238977358199e-07,0.000749259199800278,0.00481338574506625,2.48029041200266e-07
"17",-3.19496855345912,0.00146329699719939,0.00856350722662619,1.17852407163457e-06,0.000822884205948675,0.0052298617911194,3.1339244074835e-07
"18",-3.14465408805031,0.00155818013003849,0.00883009877174198,1.29381713843494e-06,0.000901283206202184,0.00568577105487459,4.4071247324075e-07
"19",-3.09433962264151,0.00166080133035742,0.00934041895199534,1.55077116708428e-06,0.00098484553728935,0.00626433202626181,5.3632319554621e-07
"20",-3.0440251572327,0.00177188151620464,0.00988089016292214,1.8430295256833e-06,0.00107399680854493,0.00666742132497611,7.0495340515558e-07
"21",-2.9937106918239,0.00189223202877626,0.0104455549911299,2.44576126863243e-06,0.00116920345150223,0.00720174485729744,9.04331424989433e-07
"22",-2.94339622641509,0.00202277350024898,0.0110333858011621,2.83928604045566e-06,0.00127097821881035,0.00773593378841481,1.05291443208228e-06
"23",-2.89308176100629,0.00216456031735695,0.0116491757328528,3.49288532104452e-06,0.00137988691402328,0.00836266763465831,1.21742127473269e-06
"24",-2.84276729559748,0.00231881248598775,0.0122914069679309,4.55446012983709e-06,0.00149655672463901,0.00889951114015453,1.4819572938615e-06
"25",-2.79245283018868,0.00248695726412104,0.0132005388584752,6.06970605291663e-06,0.00162168664987781,0.00936112342790266,1.84756147656665e-06
"26",-2.74213836477987,0.00267068365243178,0.0139507015538657,7.41862152473995e-06,0.00175606067012595,0.0102325718639424,2.32430140382769e-06
"27",-2.69182389937107,0.0028720137523194,0.014819718585475,9.47620381879298e-06,0.00190056450672064,0.0109925630565843,2.93270440689056e-06
"28",-2.64150943396226,0.0030933961642229,0.0159121212470118,1.20933832453415e-05,0.00205620708102116,0.011714851901245,3.66979630018463e-06
"29",-2.59119496855346,0.00333782805354181,0.0166217844778543,1.6020555622449e-05,0.00222414811516163,0.0123586642919467,4.61862209509255e-06
"30",-2.54088050314465,0.00360901430762918,0.0175798764350048,2.0487023632151e-05,0.00240573374070272,0.0130332104662391,6.01570968167922e-06
"31",-2.49056603773585,0.00391157439176254,0.018512226529832,2.67566554837015e-05,0.00260254251513102,0.0140478661525136,8.05252283802636e-06
"32",-2.44025157232704,0.00425131011868476,0.0201170792807568,3.48714173928259e-05,0.00281644491103969,0.0149710010967493,1.04798577695245e-05
"33",-2.38993710691824,0.00463555058265255,0.021626123619323,4.81974450087166e-05,0.00304968016048133,0.0159574310306537,1.41584713522707e-05
"34",-2.33962264150943,0.00507359393540458,0.0230739173580518,6.31052824696215e-05,0.00330495532704256,0.0170370830500768,1.81410807738305e-05
"35",-2.28930817610063,0.00557726938307141,0.0242556946387201,9.34186542719034e-05,0.0035855726544927,0.0185375797988913,2.32950068875402e-05
"36",-2.23899371069182,0.00616164653134699,0.0254767053713129,0.000127926302688993,0.00389559260575544,0.0195989287996622,3.04269044225159e-05
"37",-2.18867924528302,0.00684592261118325,0.0273461622658072,0.000189836966058802,0.00424004154216717,0.0205960899888834,4.39820875102194e-05
"38",-2.13836477987421,0.0076545205696931,0.0295215518193298,0.000264247877036334,0.00462517465259198,0.0222468829227362,5.9363817760153e-05
"39",-2.08805031446541,0.00861843161884215,0.0312967577899517,0.000350247839606972,0.00505880643215637,0.0236505567313174,8.17991120187356e-05
"40",-2.0377358490566,0.00977683336003476,0.0342617570698452,0.000474513795318598,0.00555072257605749,0.025655159642362,0.000119435878320289
"41",-1.9874213836478,0.0111790074123697,0.0376451841212551,0.000693908756129448,0.00611318835781194,0.0274624048474695,0.000165979213415293
"42",-1.93710691823899,0.0128865665200099,0.0422152397840561,0.000890754142184918,0.00676156906322124,0.0290950928314163,0.000232598010110506
"43",-1.88679245283019,0.0149759779851876,0.0479038246040921,0.00121628260454373,0.00751507738951998,0.0315247626827377,0.000313037874362005
"44",-1.83647798742138,0.0175413353279474,0.0544202835901223,0.00169896082747477,0.00839766029910224,0.033731042592266,0.000431106815943827
"45",-1.78616352201258,0.0206972807341147,0.0610103256755511,0.00233279065232061,0.00943903291465518,0.0362098405423978,0.000587547666474418
"46",-1.73584905660377,0.0245819150834174,0.0691594377473989,0.00327448872540811,0.010675858830802,0.0391953081321588,0.00082392383942846
"47",-1.68553459119497,0.0293594493688475,0.0790363845441235,0.00459632399119785,0.0121530638304924,0.0425287152442422,0.00113971143510209
"48",-1.63522012578616,0.0352222525603727,0.0886727042896526,0.00613958496077812,0.0139252526385615,0.0456913800373948,0.00144872461468656
"49",-1.58490566037736,0.0423918412593715,0.101571676587803,0.00867929854387222,0.0160581754692217,0.0498716889827739,0.00188468109246817
"50",-1.53459119496855,0.0511182453455654,0.115882149116144,0.0120916014824462,0.0186301626564199,0.0540937625456997,0.00256993208428188
"51",-1.48427672955975,0.0616770866105631,0.131252010385322,0.0164616942134959,0.021733412297203,0.0592665374884226,0.00354843435719669
"52",-1.43396226415094,0.0743636460592254,0.151800203956324,0.0217620548227964,0.0254749793945225,0.0657471922888581,0.00468746076689586
"53",-1.38364779874214,0.0894831984329829,0.174355678409245,0.0293437806396261,0.0299772786867481,0.073814056361417,0.00649035071398829
"54",-1.33333333333333,0.107336992340829,0.200132244818932,0.0390983685134534,0.0353778820749659,0.0831498115573153,0.00843729787990902
"55",-1.28301886792453,0.128203484319602,0.229007255179129,0.0489332262570041,0.0418283718520528,0.0933396247378475,0.011579427421552
"56",-1.23270440251572,0.152314821880786,0.261035145644351,0.0631228150996602,0.0494920106888219,0.105171735468978,0.0154879955999863
"57",-1.18238993710692,0.179829124951346,0.292002112735522,0.0805319192368752,0.0585400169756821,0.116975290846917,0.0207647953671471
"58",-1.13207547169811,0.210799821091285,0.330733773529977,0.102889103780362,0.0691462972821618,0.130745863690988,0.0264332695439234
"59",-1.08176100628931,0.245144094697268,0.370991168085674,0.129656168216361,0.0814805913549803,0.146519243365757,0.0347720938333962
"60",-1.0314465408805,0.282613319105142,0.415381461997062,0.15894096654141,0.0957001294231636,0.16472148286319,0.0438561248785442
"61",-0.981132075471698,0.322769018921841,0.462124575594115,0.191455110560558,0.11194008006074,0.186066872559424,0.0547664803949745
"62",-0.930817610062893,0.364968298680088,0.511753908341672,0.227612237046523,0.13030326489999,0.209105683624435,0.0672858369415053
"63",-0.880503144654088,0.408362613152383,0.563767568895076,0.266096422017391,0.150849811473695,0.233281487246359,0.0827320768495461
"64",-0.830188679245283,0.451913116344319,0.615911767855464,0.297444842014674,0.173587578333786,0.258980239106745,0.100703255832304
"65",-0.779874213836478,0.494424549518387,0.668600503091893,0.334377316023301,0.198464285227793,0.287293640492675,0.120016591013233
"66",-0.729559748427673,0.534597753557397,0.72027899034869,0.367694935873244,0.225362285406782,0.319464207642991,0.14049716718801
"67",-0.679245283018868,0.571098581529043,0.766116371050659,0.396272788037651,0.254096805232143,0.351838552646402,0.166486939418851
"68",-0.628930817610063,0.60263852850599,0.800092058684758,0.425024742828958,0.28441824062867,0.386718392328946,0.192019157353168
"69",-0.578616352201258,0.628060151999847,0.832935300014019,0.443528886995526,0.316018751421116,0.422955417536124,0.218437749800208
"70",-0.528301886792453,0.646418716841546,0.858319069341706,0.460813739962213,0.348542963589244,0.461039036560997,0.24604931199372
"71",-0.477987421383648,0.657050879273813,0.87052946555816,0.468169142957519,0.381602127326291,0.494216153624918,0.27435224732864
"72",-0.427672955974843,0.659622120219493,0.87364119588818,0.471348217171309,0.414790661676957,0.529233692103647,0.303516803095024
"73",-0.377358490566038,0.654147454763346,0.860975456662642,0.468432697231458,0.447703741161905,0.561574094942297,0.331708520626488
"74",-0.327044025157233,0.640984362747503,0.84651988073774,0.460715870715612,0.479954526708949,0.593218617639156,0.361254115207954
"75",-0.276729559748428,0.620801257367747,0.814372580778533,0.44802219042479,0.511189810098522,0.626682655850245,0.390448087407227
"76",-0.226415094339623,0.594526939992808,0.773159731662787,0.431547297683681,0.541103115255392,0.656321731054159,0.419529607002339
"77",-0.176100628930818,0.563285899856578,0.727435132194027,0.403452027745546,0.569444544178994,0.684997305755552,0.446537322987791
"78",-0.125786163522013,0.528323320310006,0.684834830722328,0.368333682125681,0.596026849603397,0.710985268303144,0.472650153433474
"79",-0.0754716981132075,0.490924853791697,0.648773833529576,0.334732407555955,0.620727471177822,0.733456234296623,0.497337383914138
"80",-0.0251572327044025,0.4523389766215,0.607540539581306,0.297761678951287,0.643486664970098,0.75440575113223,0.520198139540544
"81",0.0251572327044025,0.413710640693403,0.562944727067303,0.26559882882277,0.664302294690521,0.773990119121469,0.54188583232802
"82",0.0754716981132075,0.376032211270068,0.52343170277636,0.233226759789891,0.683222154377065,0.790514109604237,0.561921106213551
"83",0.125786163522013,0.34011331063583,0.488991256859605,0.204192989654765,0.700334773780126,0.804772136606978,0.579560669156463
"84",0.176100628930818,0.306568185963561,0.452004671845931,0.178080692831968,0.71575958816823,0.818102115783668,0.596218780171415
"85",0.226415094339623,0.275818222452174,0.414357517085177,0.154141744706264,0.729637234580918,0.830931253027079,0.611360766261071
"86",0.276729559748428,0.248106817779376,0.383732605296736,0.133267661197574,0.742120596481767,0.842113565443859,0.627363335546153
"87",0.327044025157233,0.223523090747531,0.35803121697997,0.116234976444262,0.753367041299253,0.851855392691462,0.639765282627238
"88",0.377358490566038,0.202030309122585,0.331103997288319,0.100143705539209,0.763532088299131,0.859736580964162,0.653318945859577
"89",0.427672955974843,0.183495225355352,0.305469416061056,0.087964544828245,0.772764552467954,0.867629700637622,0.664144166560794
"90",0.477987421383648,0.167715603848057,0.283597109715372,0.0781600781453031,0.781203073416284,0.87497636977339,0.672531882566949
"91",0.528301886792453,0.154444439397893,0.26489972482985,0.0713285264775549,0.788973862819951,0.879704366156734,0.682532338899761
"92",0.578616352201258,0.143410247340708,0.249030983599627,0.0662203106980311,0.796189472749044,0.885833607886997,0.688987132346358
"93",0.628930817610063,0.134333339825716,0.235009616737962,0.0621706087612318,0.802948382928954,0.891664100845728,0.696568648334051
"94",0.679245283018868,0.126938327727211,0.224371062163581,0.0586219364264224,0.809335217028436,0.896653864592246,0.704939103752151
"95",0.729559748427673,0.120963264317809,0.214099808881785,0.0541859471198283,0.815421419006691,0.90210500892633,0.712130435612042
"96",0.779874213836478,0.116165894441297,0.207046585719255,0.051857151412231,0.82126624388424,0.906089170907654,0.719284373980879
"97",0.830188679245284,0.112327450270567,0.202651765425871,0.0506407017422194,0.826917939495338,0.910294305039553,0.726348401972819
"98",0.880503144654089,0.10925441325609,0.195559530785234,0.0491827706985504,0.832415016891871,0.913887956632406,0.732335617347357
"99",0.930817610062894,0.106778665635493,0.190406755200595,0.0481981027860471,0.837787528370386,0.917690208531312,0.739455137629322
"100",0.981132075471699,0.104756459701455,0.186197479197554,0.0472684523243058,0.843058293638384,0.921939120773436,0.746155180597879
"101",1.0314465408805,0.103066609448424,0.181788333376653,0.046269553718713,0.848244034994279,0.925891245800122,0.752760755102036
"102",1.08176100628931,0.101608251490568,0.178908064870405,0.0458219390832627,0.853356399849151,0.928749418399052,0.758288148989694
"103",1.13207547169811,0.100298444801258,0.17570450967243,0.0445614520892566,0.858402862480661,0.931983928715794,0.764380342278991
"104",1.18238993710692,0.0990698000970809,0.1732786900965,0.0442919511420498,0.863387506510702,0.936082315454074,0.77040967136914
"105",1.23270440251572,0.0978682611259278,0.169989763426082,0.0426467043081518,0.868311695749743,0.939729303565559,0.778648063579282
"106",1.28301886792453,0.0966511057938469,0.16738560720187,0.0417732711538692,0.87317464446893,0.942716802053212,0.785381565477985
"107",1.33333333333333,0.0953851948458976,0.164639203901694,0.0417212100437372,0.877973899555516,0.945607129591576,0.791971500515973
"108",1.38364779874214,0.0940454680566576,0.162488677377696,0.0413312658532447,0.882705747004908,0.948295125358861,0.798267712074626
"109",1.43396226415094,0.0926136705074324,0.159904242881651,0.0404697901443332,0.887365554326036,0.951311427354438,0.802648661136608
"110",1.48427672955975,0.0910772822673581,0.157234791213506,0.0399687309945135,0.891948059094205,0.954216621336756,0.807651968087683
"111",1.53459119496855,0.0894286213705388,0.15428754610933,0.0390336376973309,0.89644761237071,0.9564654087925,0.813816139281996
"112",1.58490566037736,0.0876640903332003,0.151227835695352,0.0383645447376883,0.900858384211375,0.95894936257796,0.817951980747352
"113",1.63522012578616,0.0857835389612325,0.14875559145322,0.0374021719275408,0.905174537115084,0.961933104475919,0.825379532444357
"114",1.68553459119497,0.0837897197381586,0.146003056583725,0.0365087840173993,0.909390372070463,0.964265697794943,0.831303538238514
"115",1.73584905660377,0.0816878159668105,0.143793496276274,0.0356382507823526,0.913500450861246,0.966743231504341,0.836684577559286
"116",1.78616352201258,0.0794850266756909,0.140153149312563,0.0344381425928857,0.917499697486438,0.969202485333142,0.841833480488713
"117",1.83647798742138,0.07719019588099,0.136745024570985,0.0335089444773067,0.921383480926991,0.971581668196008,0.846660702204498
"118",1.88679245283019,0.0748134769985893,0.134289037883182,0.032314980700299,0.925147681027549,0.973853886886638,0.851500307399217
"119",1.93710691823899,0.0723660259585135,0.129353705930035,0.0306561400628606,0.928788738937412,0.975832781050788,0.857199089651022
"120",1.9874213836478,0.0698597188525011,0.125599899202266,0.0292917201028725,0.932303693345085,0.977701814137493,0.862848030367456
"121",2.0377358490566,0.0673068917379831,0.120375128491353,0.0280573026720102,0.935690203621209,0.979447049905701,0.866655588940012
"122",2.08805031446541,0.0647201015491479,0.117807007152506,0.0264045666078579,0.938946560931858,0.981330854788048,0.870147178740672
"123",2.13836477987421,0.0621119079694813,0.113446074515845,0.0254005787224335,0.942071688376864,0.983077158587276,0.875007689504268
"124",2.18867924528302,0.0594946766563496,0.109758366941086,0.0244971219665659,0.945065131227498,0.984324201346089,0.879130558358922
"125",2.23899371069182,0.0568804044405804,0.105545503625738,0.0233362953769923,0.947927038369162,0.985837608106599,0.883754390347417
"126",2.28930817610063,0.054280567117869,0.101427254946211,0.0220447068471677,0.950658136085785,0.987313354425469,0.888244001086749
"127",2.33962264150943,0.0517059902665772,0.0972419706112762,0.0203726489743866,0.95325969534448,0.988431547531532,0.89207012102405
"128",2.38993710691824,0.0491667432248171,0.0941547237758741,0.0184029548355009,0.955733493745729,0.989425210684882,0.895803042135244
"129",2.44025157232704,0.0466720559882193,0.0901614747412314,0.0167595102379308,0.958081773292306,0.990543332383251,0.899389536510121
"130",2.49056603773585,0.0442302583903884,0.0867558160973541,0.015181913533294,0.960307195098112,0.991635726558081,0.902891759630771
"131",2.54088050314465,0.0418487405349655,0.0831296414212723,0.0136019215690743,0.96241279210616,0.992682092917346,0.906739334018572
"132",2.59119496855346,0.0395339330881839,0.0792968257117985,0.012467936594085,0.964401920815,0.99328673635154,0.909788671679188
"133",2.64150943396226,0.0372913057334716,0.0752615451915824,0.0112221420453072,0.966278212927376,0.994138311001792,0.912712916453754
"134",2.69182389937107,0.0351253818480911,0.0719979378135481,0.00989511101923537,0.968045527737342,0.994758861270874,0.915869115215491
"135",2.74213836477987,0.0330397672930788,0.0686070521035769,0.00880769940130022,0.969707905965925,0.995444873634705,0.918083412152517
"136",2.79245283018868,0.0310371911136555,0.0658319099466184,0.00769249317368442,0.971269525644599,0.995941166093165,0.920184856919099
"137",2.84276729559748,0.0291195559251413,0.0638371299494611,0.00667797311785309,0.972734660533915,0.99642134249878,0.922793620057621
"138",2.89308176100629,0.0272879958030152,0.0611553729533278,0.0057628969151941,0.974107641454821,0.99686076783644,0.924643782956928
"139",2.94339622641509,0.0255429395962547,0.0583563476400392,0.00511503273402225,0.975392820805576,0.997228476463825,0.927933548887705
"140",2.9937106918239,0.0238841777299832,0.0555819074419269,0.00445596116690956,0.976594540439789,0.997558054902661,0.929222673771326
"141",3.0440251572327,0.0223109307454311,0.052838780120863,0.0039684697696271,0.977717102993018,0.997877026610306,0.931960748248889
"142",3.09433962264151,0.0208219180309922,0.0503744756964093,0.00344431642164437,0.978764746667534,0.998147532440795,0.933551631304673
"143",3.14465408805031,0.0194154254170527,0.0479504997747522,0.0030011158378075,0.979741623418077,0.99840532789641,0.934634170626512
"144",3.19496855345912,0.0180893705297383,0.0460470932607961,0.00256412260541984,0.980651780425863,0.998580289084361,0.936806652431613
"145",3.24528301886792,0.0168413650166486,0.0438150244843948,0.00216859701114498,0.98149914470343,0.998771226594959,0.938395499022819
"146",3.29559748427673,0.0156687729645125,0.041481226098811,0.00182800136752165,0.982287510638751,0.998970531010267,0.939397878763078
"147",3.34591194968553,0.01456876501963,0.0398500575502064,0.00150837017677522,0.983020530262381,0.999118409619183,0.940737569160693
"148",3.39622641509434,0.013538367893621,0.0382630865995342,0.00128718668887599,0.983701706005456,0.999241238994996,0.941820325592782
"149",3.44654088050314,0.0125745090874718,0.0366746116014098,0.00106943305319273,0.98433438570797,0.99932174488423,0.942576278056648
"150",3.49685534591195,0.0116740567954031,0.035051306671288,0.000907511076209368,0.984921759634783,0.999424330685355,0.943948187937713
"151",3.54716981132075,0.0108338550569112,0.0332809596337122,0.000763128425531735,0.985466859260288,0.999514410583408,0.94487666587951
"152",3.59748427672956,0.010050754311438,0.0315990358735003,0.000629136901608576,0.985972557590423,0.999581306773381,0.945702150704251
"153",3.64779874213836,0.00932163757697306,0.0300729480109661,0.000524327197738071,0.986441570801843,0.999633884230152,0.946393679078479
"154",3.69811320754717,0.00864344252334357,0.0288804713535352,0.000448465952675582,0.986876460991697,0.999685589288653,0.947040581007266
"155",3.74842767295597,0.00801317974500014,0.02723868251754,0.000368903412099969,0.987279639846791,0.999731949658404,0.947640864230375
"156",3.79874213836478,0.00742794755885425,0.0260288944217339,0.000295117424015877,0.9876533730573,0.999769920979753,0.948201841629112
"157",3.84905660377358,0.00688494366220797,0.0247009371683859,0.000255812099247409,0.987999785317033,0.999802899904113,0.948685295362403
"158",3.89937106918239,0.00638147398600038,0.0235314270958499,0.000206675453058925,0.988320865769159,0.999831966059252,0.948961311532245
"159",3.94968553459119,0.0059149590712924,0.0226227615247962,0.000167704850754981,0.988618473772746,0.99985062263754,0.94917017840674
"160",4,0.00548293828377747,0.0215045542276848,0.000137246887042696,0.988894344881364,0.999862553501791,0.949922711292586
